timestamp,radiation_uSv_h,sensor_id,location,temperature_c,humidity_percent,is_anomaly,anomaly_type
2026-01-01 00:00:00,0.124,RAD-001,Lab Room A,22.37,49.48,0,normal
2026-01-01 00:01:00,0.119,RAD-001,Lab Room A,21.46,51.09,0,normal
2026-01-01 00:02:00,0.1253,RAD-001,Lab Room A,22.0,48.37,0,normal
2026-01-01 00:03:00,0.1324,RAD-001,Lab Room A,22.66,52.12,0,normal
2026-01-01 00:04:00,0.1184,RAD-001,Lab Room A,21.96,49.17,0,normal
2026-01-01 00:05:00,0.1185,RAD-001,Lab Room A,21.9,47.52,0,normal
2026-01-01 00:06:00,0.133,RAD-001,Lab Room A,22.48,50.78,0,normal
2026-01-01 00:07:00,0.1266,RAD-001,Lab Room A,22.23,51.67,0,normal
2026-01-01 00:08:00,0.1168,RAD-001,Lab Room A,22.09,47.43,0,normal
2026-01-01 00:09:00,0.1249,RAD-001,Lab Room A,22.41,49.97,0,normal
2026-01-01 00:10:00,0.117,RAD-001,Lab Room A,21.42,48.31,0,normal
2026-01-01 00:11:00,0.117,RAD-001,Lab Room A,22.33,47.8,0,normal
2026-01-01 00:12:00,0.1227,RAD-001,Lab Room A,22.66,48.02,0,normal
2026-01-01 00:13:00,0.1056,RAD-001,Lab Room A,21.66,49.67,0,normal
2026-01-01 00:14:00,0.1071,RAD-001,Lab Room A,22.02,51.3,0,normal
2026-01-01 00:15:00,0.1165,RAD-001,Lab Room A,21.39,49.28,0,normal
2026-01-01 00:16:00,0.113,RAD-001,Lab Room A,22.01,50.02,0,normal
2026-01-01 00:17:00,0.1236,RAD-001,Lab Room A,21.93,48.57,0,normal
2026-01-01 00:18:00,0.1139,RAD-001,Lab Room A,22.88,49.22,0,normal
2026-01-01 00:19:00,0.11,RAD-001,Lab Room A,22.02,48.11,0,normal
2026-01-01 00:20:00,0.1331,RAD-001,Lab Room A,22.34,46.71,0,normal
2026-01-01 00:21:00,0.1196,RAD-001,Lab Room A,22.76,48.67,0,normal
2026-01-01 00:22:00,0.122,RAD-001,Lab Room A,21.36,51.14,0,normal
2026-01-01 00:23:00,0.1101,RAD-001,Lab Room A,22.29,45.71,0,normal
2026-01-01 00:24:00,0.1172,RAD-001,Lab Room A,21.81,51.12,0,normal
2026-01-01 00:25:00,0.1225,RAD-001,Lab Room A,21.83,49.97,0,normal
2026-01-01 00:26:00,0.1125,RAD-001,Lab Room A,21.92,49.28,0,normal
2026-01-01 00:27:00,0.1248,RAD-001,Lab Room A,22.08,48.71,0,normal
2026-01-01 00:28:00,0.1171,RAD-001,Lab Room A,21.87,50.22,0,normal
2026-01-01 00:29:00,0.1196,RAD-001,Lab Room A,22.13,51.61,0,normal
2026-01-01 00:30:00,0.1172,RAD-001,Lab Room A,22.69,49.91,0,normal
2026-01-01 00:31:00,0.1369,RAD-001,Lab Room A,22.5,49.22,0,normal
2026-01-01 00:32:00,0.122,RAD-001,Lab Room A,23.41,53.59,0,normal
2026-01-01 00:33:00,0.1137,RAD-001,Lab Room A,22.4,49.68,0,normal
2026-01-01 00:34:00,0.1288,RAD-001,Lab Room A,22.58,47.1,0,normal
2026-01-01 00:35:00,0.1126,RAD-001,Lab Room A,22.85,50.06,0,normal
2026-01-01 00:36:00,0.1241,RAD-001,Lab Room A,21.88,48.7,0,normal
2026-01-01 00:37:00,0.1068,RAD-001,Lab Room A,22.86,49.06,0,normal
2026-01-01 00:38:00,0.1119,RAD-001,Lab Room A,21.98,51.51,0,normal
2026-01-01 00:39:00,0.1242,RAD-001,Lab Room A,22.55,50.92,0,normal
2026-01-01 00:40:00,0.1286,RAD-001,Lab Room A,22.75,46.97,0,normal
2026-01-01 00:41:00,0.1241,RAD-001,Lab Room A,21.62,47.03,0,normal
2026-01-01 00:42:00,0.1219,RAD-001,Lab Room A,22.24,49.84,0,normal
2026-01-01 00:43:00,0.1204,RAD-001,Lab Room A,22.37,51.1,0,normal
2026-01-01 00:44:00,0.1111,RAD-001,Lab Room A,21.95,46.28,0,normal
2026-01-01 00:45:00,0.1172,RAD-001,Lab Room A,22.54,51.12,0,normal
2026-01-01 00:46:00,0.1194,RAD-001,Lab Room A,23.1,53.36,0,normal
2026-01-01 00:47:00,0.1316,RAD-001,Lab Room A,22.04,51.45,0,normal
2026-01-01 00:48:00,0.1259,RAD-001,Lab Room A,22.91,48.49,0,normal
2026-01-01 00:49:00,0.1091,RAD-001,Lab Room A,22.64,50.65,0,normal
2026-01-01 00:50:00,0.1259,RAD-001,Lab Room A,21.91,50.04,0,normal
2026-01-01 00:51:00,0.1203,RAD-001,Lab Room A,22.29,52.37,0,normal
2026-01-01 00:52:00,0.118,RAD-001,Lab Room A,22.57,51.41,0,normal
2026-01-01 00:53:00,0.1284,RAD-001,Lab Room A,23.11,48.37,0,normal
2026-01-01 00:54:00,0.1318,RAD-001,Lab Room A,22.81,50.6,0,normal
2026-01-01 00:55:00,0.1311,RAD-001,Lab Room A,22.22,48.5,0,normal
2026-01-01 00:56:00,0.117,RAD-001,Lab Room A,22.66,51.29,0,normal
2026-01-01 00:57:00,0.1213,RAD-001,Lab Room A,21.39,49.36,0,normal
2026-01-01 00:58:00,0.1265,RAD-001,Lab Room A,22.88,49.69,0,normal
2026-01-01 00:59:00,0.1317,RAD-001,Lab Room A,22.22,50.01,0,normal
2026-01-01 01:00:00,0.1201,RAD-001,Lab Room A,22.12,48.94,0,normal
2026-01-01 01:01:00,0.1225,RAD-001,Lab Room A,22.42,49.93,0,normal
2026-01-01 01:02:00,0.1152,RAD-001,Lab Room A,22.06,50.46,0,normal
2026-01-01 01:03:00,0.1146,RAD-001,Lab Room A,22.48,49.36,0,normal
2026-01-01 01:04:00,0.1307,RAD-001,Lab Room A,22.99,50.12,0,normal
2026-01-01 01:05:00,0.1351,RAD-001,Lab Room A,21.79,48.68,0,normal
2026-01-01 01:06:00,0.1238,RAD-001,Lab Room A,22.56,47.96,0,normal
2026-01-01 01:07:00,0.1324,RAD-001,Lab Room A,22.53,49.76,0,normal
2026-01-01 01:08:00,0.1273,RAD-001,Lab Room A,22.81,51.34,0,normal
2026-01-01 01:09:00,0.1194,RAD-001,Lab Room A,22.54,51.3,0,normal
2026-01-01 01:10:00,0.1275,RAD-001,Lab Room A,23.0,51.21,0,normal
2026-01-01 01:11:00,0.1369,RAD-001,Lab Room A,23.18,51.35,0,normal
2026-01-01 01:12:00,0.1244,RAD-001,Lab Room A,23.05,50.11,0,normal
2026-01-01 01:13:00,0.1373,RAD-001,Lab Room A,22.36,49.02,0,normal
2026-01-01 01:14:00,0.1039,RAD-001,Lab Room A,23.43,49.46,0,normal
2026-01-01 01:15:00,0.1315,RAD-001,Lab Room A,22.2,49.67,0,normal
2026-01-01 01:16:00,0.1257,RAD-001,Lab Room A,22.96,48.87,0,normal
2026-01-01 01:17:00,0.1226,RAD-001,Lab Room A,23.14,50.75,0,normal
2026-01-01 01:18:00,0.1258,RAD-001,Lab Room A,23.52,48.95,0,normal
2026-01-01 01:19:00,0.1092,RAD-001,Lab Room A,23.1,47.1,0,normal
2026-01-01 01:20:00,0.1235,RAD-001,Lab Room A,22.41,51.47,0,normal
2026-01-01 01:21:00,0.1281,RAD-001,Lab Room A,23.08,50.65,0,normal
2026-01-01 01:22:00,0.1372,RAD-001,Lab Room A,22.67,47.3,0,normal
2026-01-01 01:23:00,0.1213,RAD-001,Lab Room A,23.17,48.92,0,normal
2026-01-01 01:24:00,0.119,RAD-001,Lab Room A,22.82,49.75,0,normal
2026-01-01 01:25:00,0.1215,RAD-001,Lab Room A,23.32,49.9,0,normal
2026-01-01 01:26:00,0.1329,RAD-001,Lab Room A,22.77,53.06,0,normal
2026-01-01 01:27:00,0.1283,RAD-001,Lab Room A,23.14,48.47,0,normal
2026-01-01 01:28:00,0.1215,RAD-001,Lab Room A,22.53,48.38,0,normal
